Catégorie,Date de commande,Segment,Objectif de vente
Produits technologiques,16-03-2013,Entreprise individuelle,671
Produits technologiques,16-03-2013,Grand public,258
Fournitures de bureau,17-03-2013,Grand public,354
Mobilier,17-03-2013,Grand public,107
Fournitures de bureau,19-03-2013,Entreprise,1532
Fournitures de bureau,19-03-2013,Grand public,1344
Mobilier,19-03-2013,Grand public,111
Produits technologiques,19-03-2013,Entreprise,126
Fournitures de bureau,20-03-2013,Entreprise,505
Fournitures de bureau,20-03-2013,Grand public,204
Produits technologiques,20-03-2013,Entreprise,61
Produits technologiques,20-03-2013,Grand public,436
Fournitures de bureau,21-03-2013,Entreprise,94
Mobilier,21-03-2013,Grand public,840
Fournitures de bureau,22-03-2013,Entreprise,263
Fournitures de bureau,22-03-2013,Grand public,115
Mobilier,22-03-2013,Grand public,387
Produits technologiques,22-03-2013,Entreprise individuelle,112
Fournitures de bureau,23-03-2013,Entreprise,228
Fournitures de bureau,23-03-2013,Entreprise individuelle,59
Produits technologiques,23-03-2013,Entreprise,141
Produits technologiques,23-03-2013,Grand public,160
Fournitures de bureau,24-03-2013,Entreprise,178
Fournitures de bureau,24-03-2013,Grand public,66
Fournitures de bureau,26-03-2013,Entreprise,165
Fournitures de bureau,26-03-2013,Grand public,1096
Produits technologiques,26-03-2013,Entreprise,509
Produits technologiques,26-03-2013,Grand public,222
Fournitures de bureau,27-03-2013,Entreprise individuelle,675
Fournitures de bureau,27-03-2013,Grand public,569
Produits technologiques,27-03-2013,Grand public,841
Fournitures de bureau,28-03-2013,Grand public,163
Fournitures de bureau,29-03-2013,Grand public,739
Mobilier,29-03-2013,Grand public,165
Produits technologiques,29-03-2013,Grand public,1832
Fournitures de bureau,30-03-2013,Entreprise,266
Fournitures de bureau,30-03-2013,Grand public,85
Fournitures de bureau,31-03-2013,Entreprise,1034
Fournitures de bureau,31-03-2013,Entreprise individuelle,71
Fournitures de bureau,31-03-2013,Grand public,285
Produits technologiques,31-03-2013,Entreprise individuelle,245
Fournitures de bureau,02-04-2013,Entreprise,131
Fournitures de bureau,02-04-2013,Entreprise individuelle,51
Fournitures de bureau,03-04-2013,Entreprise individuelle,47
Fournitures de bureau,03-04-2013,Grand public,124
Fournitures de bureau,04-04-2013,Grand public,291
Fournitures de bureau,05-04-2013,Entreprise,616
Produits technologiques,05-04-2013,Entreprise,2933
Fournitures de bureau,06-04-2013,Grand public,76
Fournitures de bureau,07-04-2013,Grand public,409
Produits technologiques,07-04-2013,Grand public,795
Fournitures de bureau,09-04-2013,Grand public,118
Produits technologiques,09-04-2013,Entreprise individuelle,929
Produits technologiques,09-04-2013,Grand public,379
Fournitures de bureau,10-04-2013,Grand public,179
Mobilier,10-04-2013,Grand public,510
Fournitures de bureau,11-04-2013,Grand public,1246
Mobilier,11-04-2013,Grand public,343
Fournitures de bureau,12-04-2013,Grand public,26
Produits technologiques,12-04-2013,Grand public,583
Fournitures de bureau,13-04-2013,Entreprise individuelle,234
Fournitures de bureau,13-04-2013,Grand public,314
Mobilier,13-04-2013,Grand public,1159
Produits technologiques,13-04-2013,Entreprise individuelle,680
Produits technologiques,13-04-2013,Grand public,754
Fournitures de bureau,14-04-2013,Grand public,1058
Fournitures de bureau,16-04-2013,Grand public,1602
Mobilier,16-04-2013,Grand public,902
Produits technologiques,16-04-2013,Grand public,1721
Fournitures de bureau,17-04-2013,Grand public,94
Produits technologiques,18-04-2013,Entreprise individuelle,370
Fournitures de bureau,19-04-2013,Grand public,376
Fournitures de bureau,20-04-2013,Entreprise,106
Mobilier,20-04-2013,Entreprise,1011
Produits technologiques,20-04-2013,Entreprise,619
Fournitures de bureau,22-04-2013,Entreprise,460
Fournitures de bureau,22-04-2013,Grand public,216
Produits technologiques,22-04-2013,Entreprise,4796
Fournitures de bureau,23-04-2013,Entreprise,413
Fournitures de bureau,23-04-2013,Entreprise individuelle,64
Fournitures de bureau,23-04-2013,Grand public,21
Produits technologiques,23-04-2013,Entreprise,390
Fournitures de bureau,24-04-2013,Entreprise,204
Fournitures de bureau,24-04-2013,Grand public,171
Fournitures de bureau,25-04-2013,Entreprise,132
Fournitures de bureau,26-04-2013,Entreprise,416
Fournitures de bureau,26-04-2013,Entreprise individuelle,11
Fournitures de bureau,26-04-2013,Grand public,1248
Mobilier,26-04-2013,Grand public,423
Produits technologiques,26-04-2013,Entreprise,132
Produits technologiques,26-04-2013,Grand public,759
Fournitures de bureau,27-04-2013,Entreprise,64
Fournitures de bureau,27-04-2013,Entreprise individuelle,239
Fournitures de bureau,27-04-2013,Grand public,416
Produits technologiques,27-04-2013,Entreprise individuelle,279
Produits technologiques,27-04-2013,Grand public,85
Fournitures de bureau,28-04-2013,Grand public,307
Produits technologiques,28-04-2013,Grand public,367
Fournitures de bureau,30-04-2013,Entreprise individuelle,99
Fournitures de bureau,30-04-2013,Grand public,131
Mobilier,30-04-2013,Grand public,1354
Fournitures de bureau,01-05-2013,Entreprise,14
Fournitures de bureau,01-05-2013,Entreprise individuelle,107
Fournitures de bureau,01-05-2013,Grand public,374
Mobilier,01-05-2013,Grand public,52
Mobilier,03-05-2013,Entreprise,355
Produits technologiques,04-05-2013,Entreprise individuelle,219
Fournitures de bureau,08-05-2013,Entreprise,364
Produits technologiques,08-05-2013,Grand public,194
Fournitures de bureau,09-05-2013,Entreprise individuelle,11
Fournitures de bureau,09-05-2013,Grand public,161
Mobilier,09-05-2013,Grand public,835
Fournitures de bureau,11-05-2013,Entreprise,1168
Fournitures de bureau,11-05-2013,Grand public,311
Mobilier,11-05-2013,Entreprise,355
Mobilier,11-05-2013,Grand public,649
Fournitures de bureau,12-05-2013,Grand public,580
Mobilier,12-05-2013,Grand public,278
Produits technologiques,12-05-2013,Grand public,529
Fournitures de bureau,13-05-2013,Grand public,74
Fournitures de bureau,14-05-2013,Entreprise,1391
Fournitures de bureau,14-05-2013,Grand public,140
Produits technologiques,14-05-2013,Entreprise,428
Produits technologiques,14-05-2013,Grand public,151
Fournitures de bureau,15-05-2013,Entreprise,505
Fournitures de bureau,15-05-2013,Grand public,508
Mobilier,15-05-2013,Grand public,83
Produits technologiques,15-05-2013,Grand public,417
Fournitures de bureau,16-05-2013,Entreprise individuelle,180
Mobilier,16-05-2013,Grand public,2605
Fournitures de bureau,17-05-2013,Entreprise,101
Fournitures de bureau,17-05-2013,Grand public,2408
Mobilier,17-05-2013,Grand public,1209
Produits technologiques,17-05-2013,Grand public,576
Fournitures de bureau,18-05-2013,Entreprise,47
Fournitures de bureau,18-05-2013,Grand public,668
Mobilier,18-05-2013,Grand public,684
Fournitures de bureau,21-05-2013,Entreprise,80
Fournitures de bureau,21-05-2013,Grand public,632
Mobilier,21-05-2013,Entreprise individuelle,90
Mobilier,21-05-2013,Grand public,300
Produits technologiques,21-05-2013,Grand public,689
Fournitures de bureau,22-05-2013,Entreprise,103
Fournitures de bureau,22-05-2013,Entreprise individuelle,79
Mobilier,22-05-2013,Entreprise,885
Produits technologiques,22-05-2013,Entreprise,426
Fournitures de bureau,23-05-2013,Grand public,687
Mobilier,23-05-2013,Grand public,177
Produits technologiques,23-05-2013,Grand public,456
Fournitures de bureau,24-05-2013,Entreprise,211
Fournitures de bureau,24-05-2013,Grand public,102
Mobilier,24-05-2013,Entreprise,237
Produits technologiques,24-05-2013,Entreprise,667
Produits technologiques,24-05-2013,Entreprise individuelle,459
Fournitures de bureau,25-05-2013,Grand public,456
Produits technologiques,25-05-2013,Grand public,635
Fournitures de bureau,26-05-2013,Entreprise,357
Produits technologiques,28-05-2013,Grand public,1438
Fournitures de bureau,29-05-2013,Grand public,87
Produits technologiques,29-05-2013,Grand public,5612
Fournitures de bureau,30-05-2013,Grand public,23
Fournitures de bureau,31-05-2013,Entreprise,260
Fournitures de bureau,31-05-2013,Grand public,129
Mobilier,31-05-2013,Entreprise,311
Mobilier,31-05-2013,Entreprise individuelle,500
Produits technologiques,31-05-2013,Entreprise,1777
Produits technologiques,31-05-2013,Grand public,732
Fournitures de bureau,01-06-2013,Entreprise,247
Fournitures de bureau,01-06-2013,Grand public,363
Mobilier,01-06-2013,Grand public,1753
Produits technologiques,01-06-2013,Entreprise,737
Fournitures de bureau,02-06-2013,Entreprise,122
Fournitures de bureau,02-06-2013,Grand public,738
Mobilier,02-06-2013,Entreprise,130
Produits technologiques,02-06-2013,Grand public,1047
Fournitures de bureau,03-06-2013,Grand public,120
Mobilier,03-06-2013,Grand public,39
Fournitures de bureau,04-06-2013,Entreprise,207
Fournitures de bureau,04-06-2013,Grand public,127
Mobilier,04-06-2013,Grand public,244
Fournitures de bureau,05-06-2013,Entreprise,38
Produits technologiques,05-06-2013,Entreprise,1986
Fournitures de bureau,06-06-2013,Entreprise,113
Fournitures de bureau,06-06-2013,Grand public,221
Mobilier,06-06-2013,Entreprise,40
Mobilier,06-06-2013,Grand public,1003
Produits technologiques,06-06-2013,Entreprise individuelle,114
Fournitures de bureau,07-06-2013,Entreprise individuelle,140
Mobilier,07-06-2013,Grand public,413
Produits technologiques,07-06-2013,Entreprise,536
Produits technologiques,07-06-2013,Grand public,289
Fournitures de bureau,08-06-2013,Entreprise,161
Fournitures de bureau,08-06-2013,Grand public,964
Mobilier,08-06-2013,Grand public,215
Produits technologiques,08-06-2013,Grand public,1637
Fournitures de bureau,09-06-2013,Grand public,161
Mobilier,09-06-2013,Grand public,138
Produits technologiques,09-06-2013,Grand public,414
Fournitures de bureau,11-06-2013,Entreprise,424
Fournitures de bureau,11-06-2013,Entreprise individuelle,83
Fournitures de bureau,11-06-2013,Grand public,150
Mobilier,11-06-2013,Grand public,475
Produits technologiques,11-06-2013,Grand public,338
Fournitures de bureau,12-06-2013,Entreprise,192
Fournitures de bureau,12-06-2013,Grand public,721
Mobilier,12-06-2013,Entreprise,89
Produits technologiques,12-06-2013,Grand public,320
Fournitures de bureau,13-06-2013,Entreprise,205
Produits technologiques,13-06-2013,Entreprise,752
Fournitures de bureau,14-06-2013,Entreprise individuelle,545
Fournitures de bureau,14-06-2013,Grand public,38
Produits technologiques,14-06-2013,Entreprise individuelle,1551
Fournitures de bureau,15-06-2013,Entreprise,297
Fournitures de bureau,15-06-2013,Entreprise individuelle,51
Fournitures de bureau,15-06-2013,Grand public,268
Mobilier,15-06-2013,Entreprise,1037
Mobilier,15-06-2013,Grand public,26
Produits technologiques,15-06-2013,Entreprise,1295
Produits technologiques,15-06-2013,Entreprise individuelle,74
Produits technologiques,15-06-2013,Grand public,66
Fournitures de bureau,16-06-2013,Entreprise,35
Fournitures de bureau,16-06-2013,Grand public,390
Mobilier,16-06-2013,Grand public,2266
Fournitures de bureau,18-06-2013,Entreprise individuelle,87
Fournitures de bureau,18-06-2013,Grand public,295
Mobilier,18-06-2013,Entreprise individuelle,50
Mobilier,18-06-2013,Grand public,3131
Produits technologiques,18-06-2013,Entreprise individuelle,1664
Produits technologiques,18-06-2013,Grand public,1596
Fournitures de bureau,19-06-2013,Entreprise,1051
Fournitures de bureau,19-06-2013,Grand public,2875
Mobilier,19-06-2013,Entreprise,281
Mobilier,19-06-2013,Grand public,2548
Produits technologiques,19-06-2013,Grand public,2255
Fournitures de bureau,20-06-2013,Entreprise,12
Fournitures de bureau,20-06-2013,Entreprise individuelle,23
Fournitures de bureau,20-06-2013,Grand public,428
Mobilier,20-06-2013,Entreprise,2817
Mobilier,20-06-2013,Entreprise individuelle,413
Mobilier,20-06-2013,Grand public,285
Produits technologiques,20-06-2013,Entreprise,1370
Produits technologiques,20-06-2013,Grand public,1179
Fournitures de bureau,21-06-2013,Entreprise,350
Fournitures de bureau,21-06-2013,Entreprise individuelle,191
Fournitures de bureau,21-06-2013,Grand public,65
Mobilier,21-06-2013,Grand public,598
Produits technologiques,21-06-2013,Grand public,121
Fournitures de bureau,22-06-2013,Grand public,368
Mobilier,22-06-2013,Entreprise individuelle,434
Produits technologiques,22-06-2013,Entreprise individuelle,1013
Fournitures de bureau,23-06-2013,Grand public,416
Mobilier,23-06-2013,Grand public,1712
Fournitures de bureau,25-06-2013,Entreprise,448
Fournitures de bureau,25-06-2013,Entreprise individuelle,851
Fournitures de bureau,25-06-2013,Grand public,36
Mobilier,25-06-2013,Entreprise individuelle,431
Mobilier,25-06-2013,Grand public,501
Produits technologiques,25-06-2013,Grand public,2457
Fournitures de bureau,26-06-2013,Grand public,65
Mobilier,26-06-2013,Entreprise,652
Produits technologiques,26-06-2013,Entreprise,1524
Produits technologiques,26-06-2013,Grand public,113
Fournitures de bureau,27-06-2013,Entreprise,94
Fournitures de bureau,27-06-2013,Entreprise individuelle,259
Produits technologiques,27-06-2013,Entreprise,120
Produits technologiques,27-06-2013,Entreprise individuelle,706
Fournitures de bureau,28-06-2013,Entreprise,91
Fournitures de bureau,28-06-2013,Entreprise individuelle,298
Fournitures de bureau,28-06-2013,Grand public,193
Mobilier,28-06-2013,Entreprise individuelle,856
Produits technologiques,28-06-2013,Grand public,186
Fournitures de bureau,29-06-2013,Entreprise,158
Fournitures de bureau,29-06-2013,Entreprise individuelle,610
Fournitures de bureau,29-06-2013,Grand public,320
Mobilier,29-06-2013,Entreprise,281
Mobilier,29-06-2013,Grand public,913
Produits technologiques,29-06-2013,Entreprise,374
Produits technologiques,29-06-2013,Grand public,1526
Fournitures de bureau,30-06-2013,Grand public,332
Mobilier,30-06-2013,Entreprise individuelle,470
Fournitures de bureau,01-07-2013,Entreprise,159
Mobilier,01-07-2013,Entreprise,1668
Produits technologiques,01-07-2013,Entreprise,671
Fournitures de bureau,02-07-2013,Entreprise individuelle,374
Fournitures de bureau,02-07-2013,Grand public,271
Fournitures de bureau,03-07-2013,Entreprise,27
Mobilier,03-07-2013,Grand public,844
Produits technologiques,03-07-2013,Entreprise,2123
Fournitures de bureau,04-07-2013,Entreprise,85
Fournitures de bureau,04-07-2013,Entreprise individuelle,131
Fournitures de bureau,04-07-2013,Grand public,1915
Fournitures de bureau,05-07-2013,Grand public,336
Produits technologiques,05-07-2013,Grand public,483
Fournitures de bureau,06-07-2013,Entreprise,2208
Fournitures de bureau,06-07-2013,Entreprise individuelle,71
Mobilier,06-07-2013,Entreprise,684
Mobilier,06-07-2013,Entreprise individuelle,1083
Fournitures de bureau,10-07-2013,Entreprise individuelle,54
Fournitures de bureau,11-07-2013,Entreprise,74
Fournitures de bureau,11-07-2013,Grand public,1452
Mobilier,11-07-2013,Grand public,2136
Produits technologiques,11-07-2013,Entreprise,221
Fournitures de bureau,12-07-2013,Entreprise individuelle,54
Fournitures de bureau,12-07-2013,Grand public,105
Mobilier,12-07-2013,Entreprise individuelle,1099
Fournitures de bureau,13-07-2013,Entreprise,282
Fournitures de bureau,13-07-2013,Entreprise individuelle,720
Fournitures de bureau,13-07-2013,Grand public,299
Produits technologiques,13-07-2013,Entreprise,1900
Produits technologiques,13-07-2013,Grand public,1875
Fournitures de bureau,14-07-2013,Entreprise,986
Mobilier,14-07-2013,Entreprise,469
Fournitures de bureau,16-07-2013,Grand public,92
Mobilier,16-07-2013,Grand public,481
Produits technologiques,16-07-2013,Entreprise,924
Produits technologiques,16-07-2013,Grand public,178
Fournitures de bureau,17-07-2013,Entreprise,340
Fournitures de bureau,17-07-2013,Grand public,116
Mobilier,17-07-2013,Entreprise,483
Mobilier,17-07-2013,Grand public,272
Produits technologiques,17-07-2013,Entreprise,2259
Fournitures de bureau,18-07-2013,Grand public,103
Produits technologiques,18-07-2013,Grand public,1412
Fournitures de bureau,19-07-2013,Grand public,283
Fournitures de bureau,20-07-2013,Entreprise,1144
Fournitures de bureau,20-07-2013,Grand public,75
Mobilier,20-07-2013,Entreprise,42
Mobilier,20-07-2013,Grand public,126
Produits technologiques,20-07-2013,Grand public,1240
Fournitures de bureau,23-07-2013,Grand public,1821
Produits technologiques,23-07-2013,Grand public,4650
Fournitures de bureau,24-07-2013,Entreprise,431
Fournitures de bureau,24-07-2013,Grand public,1086
Fournitures de bureau,25-07-2013,Entreprise,419
Fournitures de bureau,25-07-2013,Grand public,377
Produits technologiques,25-07-2013,Entreprise,184
Mobilier,26-07-2013,Grand public,55
Fournitures de bureau,27-07-2013,Grand public,556
Fournitures de bureau,28-07-2013,Entreprise individuelle,49
Fournitures de bureau,28-07-2013,Grand public,39
Produits technologiques,28-07-2013,Grand public,478
Fournitures de bureau,30-07-2013,Entreprise,625
Fournitures de bureau,30-07-2013,Grand public,747
Mobilier,30-07-2013,Entreprise,1480
Mobilier,30-07-2013,Grand public,328
Produits technologiques,30-07-2013,Grand public,489
Fournitures de bureau,01-08-2013,Entreprise,4184
Fournitures de bureau,01-08-2013,Grand public,1443
Mobilier,01-08-2013,Grand public,389
Produits technologiques,01-08-2013,Entreprise,398
Produits technologiques,01-08-2013,Grand public,1862
Fournitures de bureau,02-08-2013,Entreprise,174
Fournitures de bureau,02-08-2013,Entreprise individuelle,600
Mobilier,02-08-2013,Entreprise individuelle,210
Mobilier,02-08-2013,Grand public,81
Produits technologiques,02-08-2013,Entreprise individuelle,1573
Fournitures de bureau,03-08-2013,Entreprise,155
Fournitures de bureau,03-08-2013,Entreprise individuelle,1418
Fournitures de bureau,03-08-2013,Grand public,1462
Mobilier,03-08-2013,Entreprise,123
Mobilier,03-08-2013,Entreprise individuelle,419
Mobilier,03-08-2013,Grand public,1314
Produits technologiques,03-08-2013,Entreprise,850
Produits technologiques,03-08-2013,Entreprise individuelle,265
Produits technologiques,03-08-2013,Grand public,2850
Fournitures de bureau,04-08-2013,Entreprise,1056
Fournitures de bureau,04-08-2013,Entreprise individuelle,55
Fournitures de bureau,04-08-2013,Grand public,62
Mobilier,04-08-2013,Entreprise,153
Fournitures de bureau,05-08-2013,Entreprise individuelle,635
Mobilier,05-08-2013,Entreprise individuelle,1375
Fournitures de bureau,06-08-2013,Entreprise,244
Fournitures de bureau,06-08-2013,Entreprise individuelle,10
Fournitures de bureau,06-08-2013,Grand public,473
Mobilier,06-08-2013,Grand public,122
Produits technologiques,06-08-2013,Entreprise,721
Produits technologiques,06-08-2013,Entreprise individuelle,1043
Produits technologiques,06-08-2013,Grand public,557
Fournitures de bureau,07-08-2013,Entreprise,89
Fournitures de bureau,07-08-2013,Grand public,286
Mobilier,07-08-2013,Entreprise,807
Mobilier,07-08-2013,Grand public,565
Fournitures de bureau,08-08-2013,Entreprise,223
Fournitures de bureau,08-08-2013,Grand public,292
Produits technologiques,08-08-2013,Entreprise,540
Fournitures de bureau,09-08-2013,Entreprise,235
Fournitures de bureau,09-08-2013,Entreprise individuelle,339
Fournitures de bureau,09-08-2013,Grand public,266
Mobilier,09-08-2013,Entreprise,643
Produits technologiques,09-08-2013,Entreprise individuelle,934
Produits technologiques,09-08-2013,Grand public,1113
Fournitures de bureau,10-08-2013,Entreprise,577
Fournitures de bureau,10-08-2013,Grand public,604
Produits technologiques,10-08-2013,Entreprise,2197
Fournitures de bureau,11-08-2013,Grand public,36
Fournitures de bureau,12-08-2013,Grand public,51
Fournitures de bureau,13-08-2013,Entreprise individuelle,68
Fournitures de bureau,13-08-2013,Grand public,1232
Mobilier,13-08-2013,Grand public,795
Produits technologiques,13-08-2013,Grand public,374
Fournitures de bureau,14-08-2013,Entreprise individuelle,363
Fournitures de bureau,14-08-2013,Grand public,2134
Mobilier,14-08-2013,Grand public,85
Produits technologiques,14-08-2013,Entreprise individuelle,1064
Produits technologiques,14-08-2013,Grand public,1955
Fournitures de bureau,15-08-2013,Entreprise individuelle,7
Fournitures de bureau,15-08-2013,Grand public,590
Mobilier,15-08-2013,Entreprise individuelle,265
Mobilier,15-08-2013,Grand public,1331
Produits technologiques,15-08-2013,Entreprise individuelle,548
Fournitures de bureau,16-08-2013,Entreprise,240
Fournitures de bureau,16-08-2013,Entreprise individuelle,144
Fournitures de bureau,16-08-2013,Grand public,490
Mobilier,16-08-2013,Grand public,168
Fournitures de bureau,17-08-2013,Entreprise individuelle,188
Mobilier,17-08-2013,Entreprise individuelle,213
Mobilier,17-08-2013,Grand public,1241
Fournitures de bureau,18-08-2013,Entreprise,417
Fournitures de bureau,18-08-2013,Entreprise individuelle,49
Mobilier,18-08-2013,Grand public,191
Produits technologiques,18-08-2013,Entreprise individuelle,1377
Fournitures de bureau,20-08-2013,Entreprise,69
Mobilier,20-08-2013,Grand public,3282
Produits technologiques,20-08-2013,Grand public,801
Fournitures de bureau,21-08-2013,Entreprise,248
Fournitures de bureau,21-08-2013,Grand public,118
Mobilier,21-08-2013,Entreprise,955
Produits technologiques,21-08-2013,Entreprise,170
Produits technologiques,21-08-2013,Grand public,235
Fournitures de bureau,22-08-2013,Entreprise,681
Mobilier,22-08-2013,Entreprise,1012
Produits technologiques,22-08-2013,Entreprise,602
Fournitures de bureau,23-08-2013,Entreprise,258
Fournitures de bureau,23-08-2013,Entreprise individuelle,991
Fournitures de bureau,23-08-2013,Grand public,245
Mobilier,23-08-2013,Entreprise,366
Mobilier,23-08-2013,Grand public,1797
Produits technologiques,23-08-2013,Entreprise individuelle,205
Fournitures de bureau,24-08-2013,Entreprise,345
Fournitures de bureau,24-08-2013,Entreprise individuelle,356
Fournitures de bureau,24-08-2013,Grand public,1829
Mobilier,24-08-2013,Entreprise,379
Mobilier,24-08-2013,Entreprise individuelle,101
Mobilier,24-08-2013,Grand public,2552
Produits technologiques,24-08-2013,Entreprise individuelle,178
Produits technologiques,24-08-2013,Grand public,3625
Fournitures de bureau,25-08-2013,Grand public,828
Fournitures de bureau,27-08-2013,Entreprise,52
Fournitures de bureau,27-08-2013,Entreprise individuelle,136
Fournitures de bureau,27-08-2013,Grand public,47
Mobilier,27-08-2013,Grand public,47
Produits technologiques,27-08-2013,Grand public,405
Fournitures de bureau,28-08-2013,Grand public,97
Produits technologiques,28-08-2013,Grand public,972
Fournitures de bureau,29-08-2013,Entreprise,114
Fournitures de bureau,29-08-2013,Entreprise individuelle,1349
Fournitures de bureau,29-08-2013,Grand public,2612
Mobilier,29-08-2013,Grand public,1468
Produits technologiques,29-08-2013,Entreprise individuelle,132
Produits technologiques,29-08-2013,Grand public,5442
Fournitures de bureau,30-08-2013,Entreprise,330
Fournitures de bureau,30-08-2013,Entreprise individuelle,179
Fournitures de bureau,30-08-2013,Grand public,322
Mobilier,30-08-2013,Entreprise,2990
Produits technologiques,30-08-2013,Grand public,1629
Fournitures de bureau,31-08-2013,Entreprise,51
Fournitures de bureau,31-08-2013,Entreprise individuelle,18
Fournitures de bureau,31-08-2013,Grand public,824
Produits technologiques,31-08-2013,Entreprise,1752
Produits technologiques,31-08-2013,Entreprise individuelle,1520
Produits technologiques,31-08-2013,Grand public,645
Fournitures de bureau,01-09-2013,Entreprise individuelle,249
Fournitures de bureau,01-09-2013,Grand public,510
Mobilier,01-09-2013,Entreprise individuelle,674
Mobilier,01-09-2013,Grand public,119
Produits technologiques,01-09-2013,Entreprise individuelle,404
Produits technologiques,01-09-2013,Grand public,138
Fournitures de bureau,02-09-2013,Entreprise,35
Fournitures de bureau,02-09-2013,Grand public,522
Mobilier,02-09-2013,Entreprise,233
Produits technologiques,02-09-2013,Entreprise,67
Fournitures de bureau,03-09-2013,Entreprise,137
Fournitures de bureau,03-09-2013,Entreprise individuelle,28
Fournitures de bureau,03-09-2013,Grand public,277
Produits technologiques,03-09-2013,Entreprise,183
Fournitures de bureau,04-09-2013,Grand public,681
Mobilier,04-09-2013,Entreprise,1065
Mobilier,04-09-2013,Grand public,225
Produits technologiques,04-09-2013,Entreprise,219
Produits technologiques,04-09-2013,Grand public,813
Fournitures de bureau,05-09-2013,Entreprise,341
Fournitures de bureau,05-09-2013,Entreprise individuelle,14
Mobilier,05-09-2013,Entreprise,645
Mobilier,05-09-2013,Grand public,239
Produits technologiques,05-09-2013,Grand public,165
Fournitures de bureau,06-09-2013,Entreprise,15
Fournitures de bureau,06-09-2013,Grand public,431
Mobilier,06-09-2013,Grand public,516
Produits technologiques,06-09-2013,Grand public,199
Fournitures de bureau,07-09-2013,Entreprise,277
Fournitures de bureau,07-09-2013,Entreprise individuelle,61
Fournitures de bureau,07-09-2013,Grand public,85
Mobilier,07-09-2013,Grand public,2567
Produits technologiques,07-09-2013,Entreprise,134
Produits technologiques,07-09-2013,Entreprise individuelle,839
Produits technologiques,07-09-2013,Grand public,1569
Fournitures de bureau,08-09-2013,Entreprise,184
Mobilier,08-09-2013,Grand public,134
Fournitures de bureau,09-09-2013,Entreprise,526
Mobilier,09-09-2013,Entreprise,1129
Fournitures de bureau,10-09-2013,Entreprise,637
Fournitures de bureau,10-09-2013,Entreprise individuelle,1011
Fournitures de bureau,10-09-2013,Grand public,134
Mobilier,10-09-2013,Entreprise,486
Mobilier,10-09-2013,Entreprise individuelle,813
Produits technologiques,10-09-2013,Entreprise,1463
Produits technologiques,10-09-2013,Grand public,917
Fournitures de bureau,11-09-2013,Entreprise individuelle,384
Fournitures de bureau,11-09-2013,Grand public,418
Mobilier,11-09-2013,Entreprise individuelle,41
Produits technologiques,11-09-2013,Entreprise,189
Fournitures de bureau,12-09-2013,Entreprise,137
Fournitures de bureau,12-09-2013,Entreprise individuelle,130
Fournitures de bureau,12-09-2013,Grand public,592
Mobilier,12-09-2013,Entreprise,174
Mobilier,12-09-2013,Grand public,581
Produits technologiques,12-09-2013,Entreprise,1190
Fournitures de bureau,13-09-2013,Entreprise,97
Fournitures de bureau,13-09-2013,Entreprise individuelle,39
Fournitures de bureau,13-09-2013,Grand public,25
Mobilier,13-09-2013,Entreprise,379
Mobilier,13-09-2013,Grand public,283
Produits technologiques,13-09-2013,Grand public,339
Fournitures de bureau,14-09-2013,Grand public,421
Mobilier,14-09-2013,Entreprise,382
Produits technologiques,14-09-2013,Grand public,96
Produits technologiques,15-09-2013,Entreprise individuelle,256
Fournitures de bureau,16-09-2013,Entreprise,35
Produits technologiques,16-09-2013,Entreprise,191
Fournitures de bureau,17-09-2013,Entreprise individuelle,285
Fournitures de bureau,17-09-2013,Grand public,1265
Produits technologiques,17-09-2013,Entreprise individuelle,379
Produits technologiques,17-09-2013,Grand public,1697
Fournitures de bureau,18-09-2013,Entreprise,445
Mobilier,18-09-2013,Entreprise,2079
Produits technologiques,18-09-2013,Entreprise,1175
Fournitures de bureau,19-09-2013,Grand public,442
Mobilier,19-09-2013,Grand public,53
Produits technologiques,19-09-2013,Grand public,311
Fournitures de bureau,20-09-2013,Entreprise,224
Fournitures de bureau,20-09-2013,Grand public,2464
Mobilier,20-09-2013,Grand public,4814
Produits technologiques,20-09-2013,Grand public,4761
Fournitures de bureau,21-09-2013,Entreprise,14
Fournitures de bureau,21-09-2013,Entreprise individuelle,66
Fournitures de bureau,21-09-2013,Grand public,137
Mobilier,21-09-2013,Grand public,128
Produits technologiques,21-09-2013,Grand public,1384
Fournitures de bureau,22-09-2013,Entreprise,571
Mobilier,22-09-2013,Entreprise,369
Produits technologiques,22-09-2013,Entreprise,891
Produits technologiques,22-09-2013,Grand public,242
Fournitures de bureau,24-09-2013,Entreprise,274
Fournitures de bureau,24-09-2013,Grand public,1826
Mobilier,24-09-2013,Entreprise,200
Mobilier,24-09-2013,Grand public,302
Produits technologiques,24-09-2013,Entreprise,288
Produits technologiques,24-09-2013,Grand public,552
Fournitures de bureau,25-09-2013,Entreprise individuelle,55
Fournitures de bureau,25-09-2013,Grand public,501
Mobilier,25-09-2013,Grand public,241
Produits technologiques,25-09-2013,Entreprise individuelle,221
Produits technologiques,25-09-2013,Grand public,546
Fournitures de bureau,26-09-2013,Grand public,223
Mobilier,26-09-2013,Grand public,757
Fournitures de bureau,27-09-2013,Entreprise,170
Fournitures de bureau,27-09-2013,Entreprise individuelle,295
Fournitures de bureau,27-09-2013,Grand public,874
Mobilier,27-09-2013,Entreprise individuelle,592
Produits technologiques,27-09-2013,Entreprise individuelle,779
Fournitures de bureau,28-09-2013,Grand public,943
